date_releve,reference,marque,modele,finition,titre,condition,apport,energie,transmission,km,prix_mensuel,url
2026-09-15T14:43:18,ves00451987,fiat,pandina,10-65-ch-hybrid-bsg-s-s-icne,SANS APPORT FIAT PANDINA 1.0 65 ch Hybrid BSG S/S Ic?ne,,,Hybride,Manuelle,10,247,https://auto-dispo.cic-leasing.fr/leasing-voiture/fiat/pandina/10-65-ch-hybrid-bsg-s-s-icne-ves00451987?apport=sans
2026-09-15T14:43:18,ves00458180,citroen,c3-iv,turbo-100-ch-manuelle-max,CITROEN C3 IV Turbo 100 ch Manuelle Max,occasion,SANS APPORT,Essence,Manuelle,23039,247,https://auto-dispo.cic-leasing.fr/leasing-voiture/citroen/c3-iv/turbo-100-ch-manuelle-max-ves00458180?apport=sans
2026-09-15T14:43:18,ves00451984,fiat,pandina,10-65-ch-hybrid-bsg-s-s-icne,SANS APPORT FIAT PANDINA 1.0 65 ch Hybrid BSG S/S Ic?ne,,,Hybride,Manuelle,10,248,https://auto-dispo.cic-leasing.fr/leasing-voiture/fiat/pandina/10-65-ch-hybrid-bsg-s-s-icne-ves00451984?apport=sans
2026-09-15T14:43:18,ves00462855,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,10619,251,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00462855?apport=sans
2026-09-15T14:43:18,ves00461001,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,7767,253,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00461001?apport=sans
2026-09-15T14:43:18,ves00456051,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,7931,253,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00456051?apport=sans
2026-09-15T14:43:18,ves00457232,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,10257,253,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00457232?apport=sans
2026-09-15T14:43:18,ves00457233,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,10542,253,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00457233?apport=sans
2026-09-15T14:43:18,ves00457375,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,10962,253,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00457375?apport=sans
2026-09-15T14:43:18,ves00457022,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,11080,253,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00457022?apport=sans
2026-09-15T14:43:18,ves00453420,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,6037,254,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00453420?apport=sans
2026-09-15T14:43:18,ves00458605,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,6460,254,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00458605?apport=sans
2026-09-15T14:43:18,ves00457136,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,6606,254,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00457136?apport=sans
2026-09-15T14:43:18,ves00455235,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,6790,254,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00455235?apport=sans
2026-09-15T14:43:18,ves00455976,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,6852,254,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00455976?apport=sans
2026-09-15T14:43:18,ves00455975,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,12703,254,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00455975?apport=sans
2026-09-15T14:43:18,ves00458997,peugeot,2008-ii,100-ss-bvm6-style,PEUGEOT 2008 II 100 S&S BVM6 Style,occasion,SANS APPORT,Essence,Manuelle,7078,258,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-style-ves00458997?apport=sans
2026-09-15T14:43:18,ves00458205,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,12180,258,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00458205?apport=sans
2026-09-15T14:43:18,ves00462968,peugeot,208-ii,100-ss-bvm6-allure,PEUGEOT 208 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,12358,259,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/208-ii/100-ss-bvm6-allure-ves00462968?apport=sans
2026-09-15T14:43:18,ves00456912,toyota,aygo-x,10-vvt-i-72-dynamic,SANS APPORT TOYOTA AYGO X 1.0 VVT-i 72 Dynamic,,,Essence,Manuelle,10,262,https://auto-dispo.cic-leasing.fr/leasing-voiture/toyota/aygo-x/10-vvt-i-72-dynamic-ves00456912?apport=sans
2026-09-15T14:43:18,ves00461018,toyota,aygo-x,10-vvt-i-72-dynamic,SANS APPORT TOYOTA AYGO X 1.0 VVT-i 72 Dynamic,,,Essence,Manuelle,10,262,https://auto-dispo.cic-leasing.fr/leasing-voiture/toyota/aygo-x/10-vvt-i-72-dynamic-ves00461018?apport=sans
2026-09-15T14:43:18,ves00458707,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,24118,263,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00458707?apport=sans
2026-09-15T14:43:18,ves00457400,seat,arona,10-tsi-95-ch-start-stop-bvm5-fr,SEAT Arona 1.0 TSI 95 ch Start/Stop BVM5 FR,occasion,SANS APPORT,Essence,Manuelle,14192,263,https://auto-dispo.cic-leasing.fr/leasing-voiture/seat/arona/10-tsi-95-ch-start-stop-bvm5-fr-ves00457400?apport=sans
2026-09-15T14:43:18,ves00457230,peugeot,2008-ii,100-ss-bvm6-allure,PEUGEOT 2008 II 100 S&S BVM6 Allure,occasion,SANS APPORT,Essence,Manuelle,22924,263,https://auto-dispo.cic-leasing.fr/leasing-voiture/peugeot/2008-ii/100-ss-bvm6-allure-ves00457230?apport=sans
